ISO code,Country,Variable code,Variable name,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
IRQ,Iraq,emp,Number of persons engaged (in millions),3.41125631332397,3.47462797164917,3.60058450698853,3.71295261383057,3.85321831703186,4.00496816635132,4.15649747848511,4.31971168518066,4.48220872879028,4.63981056213379,4.79843950271606,4.96646976470947,5.12738847732544,5.29076862335205,5.45796298980713,5.6214804649353,5.7746901512146,5.89441728591919,5.99888467788696,6.11947107315064,6.23864603042603,6.41054248809814,6.70426893234253,7.03941202163696,7.41650915145874,7.80055713653564,8.14038848876953,8.40671539306641,8.18851852416992,8.49299240112305,8.77213954925537
IRQ,Iraq,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.49545359611511,1.5327011346817,1.57364535331726,1.61568343639374,1.65884447097778,1.70315861701965,1.738844871521,1.76973462104797,1.80117309093475,1.83316993713379,1.86573529243469,1.89887917041779,1.92977476119995,1.96117305755615,1.99308228492737,2.02551054954529,2.05846643447876,2.08105945587158,2.10390043258667,2.12699198722839,2.15033721923828,2.17393851280212,2.18642210960388,2.19897723197937,2.21160459518433,2.22430443763733,2.23707699775696,2.24992322921753,2.26284313201904,2.27583694458008,2.28890585899353
IRQ,Iraq,pl_m,"Price level of imports, price level of USA GDPo in 2017=1",0.525997519493103,0.53996467590332,0.571565210819244,0.469832211732864,0.466048091650009,0.498613148927689,0.555185556411743,0.537293255329132,0.517666816711426,0.51943427324295,0.526053547859192,0.494026184082031,0.467214226722717,0.473420888185501,0.505549967288971,0.528025031089783,0.518901765346527,0.546567559242249,0.588717460632324,0.640667319297791,0.610048174858093,0.606302499771118,0.636614382266998,0.635465860366821,0.651351630687714,0.668293833732605,0.587593257427216,0.574677050113678,0.599642992019653,0.661183536052704,0.67558616399765
IRQ,Iraq,pl_x,"Price level of exports, price level of USA GDPo in 2017=1",0.380603641271591,0.328548043966293,0.45064651966095,0.257751882076263,0.29058438539505,0.382507830858231,0.369601130485535,0.445103973150253,0.437171518802643,0.406447887420654,0.324548006057739,0.336109906435013,0.385013788938522,0.341501295566559,0.355177164077759,0.386176079511642,0.40787535905838,0.426480740308762,0.459028750658035,0.502400457859039,0.502533614635468,0.520745635032654,0.519201338291168,0.536991834640503,0.544583916664124,0.563285529613495,0.487161606550217,0.490359127521515,0.508900225162506,0.519687533378601,0.551802277565002
IRQ,Iraq,pop,Population (in millions),16.994948,17.419113,17.889459,18.402734,18.955085,19.53934,20.149338,20.783073,21.439574,22.114324,22.802064,23.497585,24.20818,24.931919,25.644499,26.313838,26.922284,27.448124,27.911248,28.385746,28.973162,29.741976,30.7253,31.890011,33.15705,34.411951,35.572261,36.610632,37.552781,38.4336,39.309783
IRQ,Iraq,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),128706,128514.4140625,43303.89453125,54182.84765625,80699.6484375,76121.5859375,62071.2421875,92891.8515625,113195.0390625,152410.53125,177469.4375,181081.84375,185383.546875,173387.484375,113419.8125,179612.328125,179773.953125,204621.125,232347.578125,274933.6875,321835.875,384958.5,476580,559317.375,568688.0625,505480.9375,360958.59375,354388,428658.84375,431994.9375,451417.125
SAU,Saudi Arabia,emp,Number of persons engaged (in millions),4.68767261505127,5.02199935913086,5.41969633102417,5.60992670059204,5.55217742919922,5.55516576766968,5.49401044845581,5.60694551467896,5.67930603027344,5.76708650588989,5.65310621261597,5.77489519119263,5.87119150161743,5.97670841217041,6.3835391998291,6.79037046432495,7.1972017288208,7.60403203964233,7.83894538879395,8.07311058044434,8.23577117919922,8.93005084991455,10.0425710678101,10.373927116394,10.797004699707,11.1023626327515,11.4796133041382,12.1610221862793,12.8729677200317,13.3782386779785,13.7446050643921
SAU,Saudi Arabia,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.96470165252686,1.99839568138123,2.01884627342224,2.03950595855713,2.06037735939026,2.08146190643311,2.1027626991272,2.12780714035034,2.15314960479736,2.17879414558411,2.20474410057068,2.23100328445435,2.25860095024109,2.28654050827026,2.31482529640198,2.34346032142639,2.37244915962219,2.3984100818634,2.4246551990509,2.45118737220764,2.4780101776123,2.50512599945068,2.5337450504303,2.56208825111389,2.58233261108398,2.6030330657959,2.62420177459717,2.6458523273468,2.66799807548523,2.6906533241272,2.71383237838745
SAU,Saudi Arabia,pl_m,"Price level of imports, price level of USA GDPo in 2017=1",0.489318341016769,0.513102114200592,0.564760863780975,0.508466303348541,0.487368315458298,0.49996343255043,0.530542194843292,0.536371111869812,0.51824027299881,0.509594857692719,0.497835606336594,0.469676584005356,0.460232943296433,0.461568564176559,0.488420426845551,0.516188621520996,0.519927442073822,0.532175242900848,0.572945594787598,0.673916399478912,0.650801002979279,0.621555626392365,0.653947651386261,0.652308642864227,0.676631271839142,0.69674152135849,0.623871386051178,0.629471004009247,0.631812453269959,0.670421838760376,0.665020346641541
SAU,Saudi Arabia,pl_x,"Price level of exports, price level of USA GDPo in 2017=1",0.405744999647141,0.394888609647751,0.593587994575501,0.326407819986343,0.367894053459168,0.392747223377228,0.421795845031738,0.433032095432282,0.429449200630188,0.382207810878754,0.359914928674698,0.375298082828522,0.382851481437683,0.358715564012527,0.387808531522751,0.399670869112015,0.428144961595535,0.445612013339996,0.484523802995682,0.53648191690445,0.478966414928436,0.514887750148773,0.529054939746857,0.541229486465454,0.573001980781555,0.578371584415436,0.521058320999146,0.509393036365509,0.543159365653992,0.55532294511795,0.554287791252136
SAU,Saudi Arabia,pop,Population (in millions),15.666297,16.233785,16.772694,17.282691,17.763298,18.21447,18.638787,19.033845,19.407142,19.783304,20.194527,20.663843,21.202642,21.805313,22.456649,23.132682,23.816183,24.49831,25.184597,25.888541,26.630303,27.421461,28.267589,29.1549,30.052059,30.916597,31.717667,32.443447,33.101179,33.702756,34.268528
SAU,Saudi Arabia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),277571.75,295543.9375,330514.3125,354658.96875,358913.40625,352869.84375,354071,362890.40625,372601.03125,340189.15625,382992.40625,452974.0625,432248.21875,476801.09375,518524.59375,617051.25,747347.5,885815.1875,998376.5,1287265.75,1122323.5,1417126,1921491.25,1977657.5,1931371.125,1916127,1675710.75,1559667.625,1613474.75,1756845.5,1754526.375
YEM,Yemen,emp,Number of persons engaged (in millions),2.04699611663818,2.14801573753357,2.28195810317993,2.42893934249878,2.58645153045654,2.74189305305481,2.89953351020813,3.01082682609558,3.12305283546448,3.23663973808289,3.35319447517395,3.40888476371765,3.47636938095093,3.54036951065063,3.61082601547241,3.692946434021,3.78565144538879,3.8835437297821,3.99170088768005,4.10224533081055,4.19125175476074,4.29560327529907,4.35904598236084,4.4255576133728,4.49469184875488,4.57383108139038,4.77474403381348,4.97142505645752,5.17052221298218,5.37051868438721,5.53187704086304
